Country,Item,Year,Value
Algeria,Peas,2009,6
Algeria,Peas,2010,7
Algeria,Peas,2011,7
Algeria,Peas,2012,9
Algeria,Peas,2013,11
Algeria,"Pulses, Other and products",2004,49
Algeria,"Pulses, Other and products",2005,41
Algeria,"Pulses, Other and products",2006,38
Algeria,"Pulses, Other and products",2007,43
Algeria,"Pulses, Other and products",2008,36
Algeria,"Pulses, Other and products",2009,57
Algeria,"Pulses, Other and products",2010,65
Algeria,"Pulses, Other and products",2011,71
Algeria,"Pulses, Other and products",2012,74
Algeria,"Pulses, Other and products",2013,84
Algeria,Nuts and products,2004,38
Algeria,Nuts and products,2005,45
Algeria,Nuts and products,2006,54
Algeria,Nuts and products,2007,34
Algeria,Nuts and products,2008,40
Algeria,Nuts and products,2009,47
Algeria,Nuts and products,2010,57
Algeria,Nuts and products,2011,22
Algeria,Nuts and products,2012,34
Algeria,Nuts and products,2013,35
Algeria,Groundnuts (Shelled Eq),2004,3
Algeria,Groundnuts (Shelled Eq),2005,2
Algeria,Groundnuts (Shelled Eq),2006,2
Algeria,Groundnuts (Shelled Eq),2007,2
Algeria,Groundnuts (Shelled Eq),2008,2
Algeria,Groundnuts (Shelled Eq),2009,2
Algeria,Groundnuts (Shelled Eq),2010,2
Algeria,Groundnuts (Shelled Eq),2011,2
Algeria,Groundnuts (Shelled Eq),2012,2
Algeria,Groundnuts (Shelled Eq),2013,2
Algeria,Sunflower seed,2004,0
Algeria,Sunflower seed,2005,0
Algeria,Sunflower seed,2006,0
Algeria,Sunflower seed,2007,0
Algeria,Sunflower seed,2008,0
Algeria,Sunflower seed,2009,0
Algeria,Sunflower seed,2010,0
Algeria,Sunflower seed,2011,0
Algeria,Sunflower seed,2012,0
Algeria,Sunflower seed,2013,0
Algeria,Rape and Mustardseed,2004,29
Algeria,Rape and Mustardseed,2005,29
Algeria,Rape and Mustardseed,2006,29
Algeria,Rape and Mustardseed,2007,29
Algeria,Rape and Mustardseed,2008,35
Algeria,Rape and Mustardseed,2009,37
Algeria,Rape and Mustardseed,2010,39
Algeria,Rape and Mustardseed,2011,45
Algeria,Rape and Mustardseed,2012,47
Algeria,Rape and Mustardseed,2013,47
Algeria,Cottonseed,2004,0
Algeria,Cottonseed,2005,0
Algeria,Cottonseed,2006,0
Algeria,Cottonseed,2007,0
Algeria,Cottonseed,2008,0
Algeria,Cottonseed,2009,0
Algeria,Cottonseed,2010,0
Algeria,Cottonseed,2011,0
Algeria,Cottonseed,2012,0
Algeria,Cottonseed,2013,0
Algeria,Olives (including preserved),2004,469
Algeria,Olives (including preserved),2005,316
Algeria,Olives (including preserved),2006,265
Algeria,Olives (including preserved),2007,209
Algeria,Olives (including preserved),2008,254
Algeria,Olives (including preserved),2009,475
Algeria,Olives (including preserved),2010,311
Algeria,Olives (including preserved),2011,611
Algeria,Olives (including preserved),2012,394
Algeria,Olives (including preserved),2013,579
Algeria,Groundnut Oil,2004,19
Algeria,Groundnut Oil,2005,23
Algeria,Groundnut Oil,2006,18
Algeria,Groundnut Oil,2007,20
Algeria,Groundnut Oil,2008,23
Algeria,Groundnut Oil,2009,22
Algeria,Groundnut Oil,2010,14
Algeria,Groundnut Oil,2011,20
Algeria,Groundnut Oil,2012,15
Algeria,Groundnut Oil,2013,20
Algeria,Sunflowerseed Oil,2004,1
Algeria,Sunflowerseed Oil,2005,1
Algeria,Sunflowerseed Oil,2006,1
Algeria,Sunflowerseed Oil,2007,1
Algeria,Sunflowerseed Oil,2008,1
Algeria,Sunflowerseed Oil,2009,1
Algeria,Sunflowerseed Oil,2010,1
Algeria,Sunflowerseed Oil,2011,0
Algeria,Sunflowerseed Oil,2012,1
Algeria,Sunflowerseed Oil,2013,1
Algeria,Rape and Mustard Oil,2004,9
Algeria,Rape and Mustard Oil,2005,9
Algeria,Rape and Mustard Oil,2006,9
Algeria,Rape and Mustard Oil,2007,9
Algeria,Rape and Mustard Oil,2008,11
Algeria,Rape and Mustard Oil,2009,12
Algeria,Rape and Mustard Oil,2010,12
Algeria,Rape and Mustard Oil,2011,14
Algeria,Rape and Mustard Oil,2012,15
Algeria,Rape and Mustard Oil,2013,15
Algeria,Olive Oil,2004,61
Algeria,Olive Oil,2005,37
Algeria,Olive Oil,2006,34
Algeria,Olive Oil,2007,24
Algeria,Olive Oil,2008,39
Algeria,Olive Oil,2009,54
Algeria,Olive Oil,2010,43
Algeria,Olive Oil,2011,60
Algeria,Olive Oil,2012,51
Algeria,Olive Oil,2013,68
Algeria,"Oilcrops Oil, Other",2004,2
Algeria,"Oilcrops Oil, Other",2005,1
Algeria,"Oilcrops Oil, Other",2006,2
Algeria,"Oilcrops Oil, Other",2007,1
Algeria,"Oilcrops Oil, Other",2008,3
Algeria,"Oilcrops Oil, Other",2009,1
Algeria,"Oilcrops Oil, Other",2010,1
Algeria,"Oilcrops Oil, Other",2011,2
Algeria,"Oilcrops Oil, Other",2012,2
Algeria,"Oilcrops Oil, Other",2013,3
Algeria,Tomatoes and products,2004,1092
Algeria,Tomatoes and products,2005,1023
Algeria,Tomatoes and products,2006,796
Algeria,Tomatoes and products,2007,567
Algeria,Tomatoes and products,2008,559
Algeria,Tomatoes and products,2009,641
Algeria,Tomatoes and products,2010,718
Algeria,Tomatoes and products,2011,772
Algeria,Tomatoes and products,2012,797
Algeria,Tomatoes and products,2013,975
Algeria,Onions,2004,658
Algeria,Onions,2005,686
Algeria,Onions,2006,704
Algeria,Onions,2007,827
Algeria,Onions,2008,759
Algeria,Onions,2009,980
Algeria,Onions,2010,1001
Algeria,Onions,2011,1144
Algeria,Onions,2012,1183
Algeria,Onions,2013,1344
Algeria,"Vegetables, Other",2004,2348
Algeria,"Vegetables, Other",2005,2522
Algeria,"Vegetables, Other",2006,2445
Algeria,"Vegetables, Other",2007,2512
Algeria,"Vegetables, Other",2008,2578
Algeria,"Vegetables, Other",2009,3131
Algeria,"Vegetables, Other",2010,3499
Algeria,"Vegetables, Other",2011,3666
Algeria,"Vegetables, Other",2012,4068
Algeria,"Vegetables, Other",2013,4472
Algeria,"Oranges, Mandarines",2004,561
Algeria,"Oranges, Mandarines",2005,579
Algeria,"Oranges, Mandarines",2006,631
Algeria,"Oranges, Mandarines",2007,647
Algeria,"Oranges, Mandarines",2008,653
Algeria,"Oranges, Mandarines",2009,783
Algeria,"Oranges, Mandarines",2010,734
Algeria,"Oranges, Mandarines",2011,1033
Algeria,"Oranges, Mandarines",2012,1010
Algeria,"Oranges, Mandarines",2013,1122
Algeria,"Lemons, Limes and products",2004,46
Algeria,"Lemons, Limes and products",2005,47
Algeria,"Lemons, Limes and products",2006,47
Algeria,"Lemons, Limes and products",2007,45
Algeria,"Lemons, Limes and products",2008,43
Algeria,"Lemons, Limes and products",2009,60
Algeria,"Lemons, Limes and products",2010,52
Algeria,"Lemons, Limes and products",2011,72
Algeria,"Lemons, Limes and products",2012,76
Algeria,"Lemons, Limes and products",2013,81
Algeria,Grapefruit and products,2004,2
Algeria,Grapefruit and products,2005,2
Algeria,Grapefruit and products,2006,3
Algeria,Grapefruit and products,2007,1
Algeria,Grapefruit and products,2008,1
Algeria,Grapefruit and products,2009,1
Algeria,Grapefruit and products,2010,2
Algeria,Grapefruit and products,2011,2
Algeria,Grapefruit and products,2012,2
Algeria,Grapefruit and products,2013,2
Algeria,"Citrus, Other",2004,0
Algeria,"Citrus, Other",2005,0
Algeria,"Citrus, Other",2006,0
Algeria,"Citrus, Other",2007,0
Algeria,"Citrus, Other",2008,0
Algeria,"Citrus, Other",2009,0
Algeria,"Citrus, Other",2010,1
Algeria,"Citrus, Other",2011,1
Algeria,"Citrus, Other",2012,1
Algeria,"Citrus, Other",2013,1
Algeria,Bananas,2004,0
Algeria,Bananas,2005,0
Algeria,Bananas,2006,0
Algeria,Bananas,2007,0
Algeria,Bananas,2008,0
Algeria,Bananas,2009,0
Algeria,Bananas,2010,0
Algeria,Bananas,2011,0
Algeria,Bananas,2012,0
Algeria,Bananas,2013,0
Algeria,Apples and products,2004,165
Algeria,Apples and products,2005,200
Algeria,Apples and products,2006,283
Algeria,Apples and products,2007,190
Algeria,Apples and products,2008,261
Algeria,Apples and products,2009,267
Algeria,Apples and products,2010,379
Algeria,Apples and products,2011,404
Algeria,Apples and products,2012,398
Algeria,Apples and products,2013,456
Algeria,Dates,2004,443
Algeria,Dates,2005,516
Algeria,Dates,2006,491
Algeria,Dates,2007,527
Algeria,Dates,2008,553
Algeria,Dates,2009,601
Algeria,Dates,2010,645
Algeria,Dates,2011,725
Algeria,Dates,2012,789
Algeria,Dates,2013,848
Algeria,Grapes and products (excl wine),2004,284
Algeria,Grapes and products (excl wine),2005,334
Algeria,Grapes and products (excl wine),2006,398
Algeria,Grapes and products (excl wine),2007,245
Algeria,Grapes and products (excl wine),2008,402
Algeria,Grapes and products (excl wine),2009,493
Algeria,Grapes and products (excl wine),2010,561
Algeria,Grapes and products (excl wine),2011,403
Algeria,Grapes and products (excl wine),2012,543
Algeria,Grapes and products (excl wine),2013,571
Algeria,"Fruits, Other",2004,480
Algeria,"Fruits, Other",2005,602
Algeria,"Fruits, Other",2006,737
Algeria,"Fruits, Other",2007,530
Algeria,"Fruits, Other",2008,703
Algeria,"Fruits, Other",2009,783
Algeria,"Fruits, Other",2010,931
Algeria,"Fruits, Other",2011,1036
Algeria,"Fruits, Other",2012,1015
Algeria,"Fruits, Other",2013,1148
Algeria,Pimento,2004,6
Algeria,Pimento,2005,8
Algeria,Pimento,2006,9
Algeria,Pimento,2007,6
Algeria,Pimento,2008,8
Algeria,Pimento,2009,9
Algeria,Pimento,2010,12
Algeria,Pimento,2011,13
Algeria,Pimento,2012,14
Algeria,Pimento,2013,15
Algeria,Wine,2004,85
Algeria,Wine,2005,90
Algeria,Wine,2006,105
Algeria,Wine,2007,52
Algeria,Wine,2008,50
Algeria,Wine,2009,59
Algeria,Wine,2010,48
Algeria,Wine,2011,48
Algeria,Wine,2012,49
Algeria,Wine,2013,50
Algeria,Beer,2004,110
Algeria,Beer,2005,118
Algeria,Beer,2006,125
Algeria,Beer,2007,130
Algeria,Beer,2008,141
Algeria,Beer,2009,140
Algeria,Beer,2010,141
Algeria,Beer,2011,143
Algeria,Beer,2012,145
Algeria,Beer,2013,165
Algeria,"Beverages, Alcoholic",2004,0
Algeria,"Beverages, Alcoholic",2005,0
Algeria,"Beverages, Alcoholic",2006,0
Algeria,"Beverages, Alcoholic",2007,0
Algeria,"Beverages, Alcoholic",2008,0
Algeria,"Beverages, Alcoholic",2009,0
Algeria,"Beverages, Alcoholic",2010,0
Algeria,"Beverages, Alcoholic",2011,0
Algeria,"Beverages, Alcoholic",2012,0
Algeria,"Beverages, Alcoholic",2013,0
Algeria,Bovine Meat,2004,125
Algeria,Bovine Meat,2005,120
Algeria,Bovine Meat,2006,122
Algeria,Bovine Meat,2007,123
Algeria,Bovine Meat,2008,125
Algeria,Bovine Meat,2009,131
Algeria,Bovine Meat,2010,126
Algeria,Bovine Meat,2011,125
Algeria,Bovine Meat,2012,136
Algeria,Bovine Meat,2013,140
Algeria,Mutton & Goat Meat,2004,185
Algeria,Mutton & Goat Meat,2005,191
Algeria,Mutton & Goat Meat,2006,199
Algeria,Mutton & Goat Meat,2007,201
Algeria,Mutton & Goat Meat,2008,193
Algeria,Mutton & Goat Meat,2009,212
Algeria,Mutton & Goat Meat,2010,221
Algeria,Mutton & Goat Meat,2011,270
Algeria,Mutton & Goat Meat,2012,279
Algeria,Mutton & Goat Meat,2013,298
Algeria,Pigmeat,2004,0
Algeria,Pigmeat,2005,0
Algeria,Pigmeat,2006,0
Algeria,Pigmeat,2007,0
Algeria,Pigmeat,2008,0
Algeria,Pigmeat,2009,0
Algeria,Pigmeat,2010,0
Algeria,Pigmeat,2011,0
Algeria,Pigmeat,2012,0
Algeria,Pigmeat,2013,0
Algeria,Poultry Meat,2004,268
Algeria,Poultry Meat,2005,270
Algeria,Poultry Meat,2006,261
Algeria,Poultry Meat,2007,266
Algeria,Poultry Meat,2008,267
Algeria,Poultry Meat,2009,270
Algeria,Poultry Meat,2010,275
Algeria,Poultry Meat,2011,277
Algeria,Poultry Meat,2012,289
Algeria,Poultry Meat,2013,288
Algeria,"Meat, Other",2004,11
Algeria,"Meat, Other",2005,11
Algeria,"Meat, Other",2006,12
Algeria,"Meat, Other",2007,12
Algeria,"Meat, Other",2008,12
Algeria,"Meat, Other",2009,12
Algeria,"Meat, Other",2010,13
Algeria,"Meat, Other",2011,14
Algeria,"Meat, Other",2012,14
Algeria,"Meat, Other",2013,14
Algeria,"Offals, Edible",2004,40
Algeria,"Offals, Edible",2005,40
Algeria,"Offals, Edible",2006,41
Algeria,"Offals, Edible",2007,41
Algeria,"Offals, Edible",2008,41
Algeria,"Offals, Edible",2009,44
Algeria,"Offals, Edible",2010,45
Algeria,"Offals, Edible",2011,52
Algeria,"Offals, Edible",2012,53
Algeria,"Offals, Edible",2013,56
Algeria,"Butter, Ghee",2004,2
Algeria,"Butter, Ghee",2005,2
Algeria,"Butter, Ghee",2006,2
Algeria,"Butter, Ghee",2007,2
Algeria,"Butter, Ghee",2008,2
Algeria,"Butter, Ghee",2009,2
Algeria,"Butter, Ghee",2010,2
Algeria,"Butter, Ghee",2011,4
Algeria,"Butter, Ghee",2012,4
Algeria,"Butter, Ghee",2013,5
Algeria,"Fats, Animals, Raw",2004,7
Algeria,"Fats, Animals, Raw",2005,7
Algeria,"Fats, Animals, Raw",2006,7
Algeria,"Fats, Animals, Raw",2007,7
Algeria,"Fats, Animals, Raw",2008,7
Algeria,"Fats, Animals, Raw",2009,7
Algeria,"Fats, Animals, Raw",2010,8
Algeria,"Fats, Animals, Raw",2011,9
Algeria,"Fats, Animals, Raw",2012,9
Algeria,"Fats, Animals, Raw",2013,10
Algeria,Eggs,2004,180
Algeria,Eggs,2005,175
Algeria,Eggs,2006,178
Algeria,Eggs,2007,196
Algeria,Eggs,2008,184
Algeria,Eggs,2009,194
Algeria,Eggs,2010,260
Algeria,Eggs,2011,280
Algeria,Eggs,2012,309
Algeria,Eggs,2013,347
Algeria,Milk - Excluding Butter,2004,1701
Algeria,Milk - Excluding Butter,2005,1799
Algeria,Milk - Excluding Butter,2006,2017
Algeria,Milk - Excluding Butter,2007,1999
Algeria,Milk - Excluding Butter,2008,1998
Algeria,Milk - Excluding Butter,2009,2263
Algeria,Milk - Excluding Butter,2010,2634
Algeria,Milk - Excluding Butter,2011,2733
Algeria,Milk - Excluding Butter,2012,2908
Algeria,Milk - Excluding Butter,2013,3129
Algeria,Freshwater Fish,2004,1
Algeria,Freshwater Fish,2005,0
Algeria,Freshwater Fish,2006,0
Algeria,Freshwater Fish,2007,0
Algeria,Freshwater Fish,2008,3
Algeria,Freshwater Fish,2009,2
Algeria,Freshwater Fish,2010,2
Algeria,Freshwater Fish,2011,2
Algeria,Freshwater Fish,2012,2
Algeria,Freshwater Fish,2013,2
Algeria,Demersal Fish,2004,10
Algeria,Demersal Fish,2005,11
Algeria,Demersal Fish,2006,10
Algeria,Demersal Fish,2007,11
Algeria,Demersal Fish,2008,15
Algeria,Demersal Fish,2009,12
Algeria,Demersal Fish,2010,11
Algeria,Demersal Fish,2011,12
Algeria,Demersal Fish,2012,12
Algeria,Demersal Fish,2013,12
Algeria,Pelagic Fish,2004,100
Algeria,Pelagic Fish,2005,111
Algeria,Pelagic Fish,2006,132
Algeria,Pelagic Fish,2007,125
Algeria,Pelagic Fish,2008,106
Algeria,Pelagic Fish,2009,98
Algeria,Pelagic Fish,2010,66
Algeria,Pelagic Fish,2011,72
Algeria,Pelagic Fish,2012,74
Algeria,Pelagic Fish,2013,74
Algeria,"Marine Fish, Other",2004,0
Algeria,"Marine Fish, Other",2005,0
Algeria,"Marine Fish, Other",2006,0
Algeria,"Marine Fish, Other",2007,6
Algeria,"Marine Fish, Other",2008,14
Algeria,"Marine Fish, Other",2009,14
Algeria,"Marine Fish, Other",2010,14
Algeria,"Marine Fish, Other",2011,13
Algeria,"Marine Fish, Other",2012,17
Algeria,"Marine Fish, Other",2013,17
Algeria,Crustaceans,2004,3
Algeria,Crustaceans,2005,3
Algeria,Crustaceans,2006,2
Algeria,Crustaceans,2007,2
Algeria,Crustaceans,2008,2
Algeria,Crustaceans,2009,3
Algeria,Crustaceans,2010,2
Algeria,Crustaceans,2011,2
Algeria,Crustaceans,2012,2
Algeria,Crustaceans,2013,2
Algeria,Cephalopods,2004,1
Algeria,Cephalopods,2005,2
Algeria,Cephalopods,2006,1
Algeria,Cephalopods,2007,2
Algeria,Cephalopods,2008,2
Algeria,Cephalopods,2009,1
Algeria,Cephalopods,2010,1
Algeria,Cephalopods,2011,1
Algeria,Cephalopods,2012,1
Algeria,Cephalopods,2013,1
Algeria,"Molluscs, Other",2004,0
Algeria,"Molluscs, Other",2005,0
Algeria,"Molluscs, Other",2006,0
Algeria,"Molluscs, Other",2007,0
Algeria,"Molluscs, Other",2008,0
Algeria,"Molluscs, Other",2009,0
Algeria,"Molluscs, Other",2010,0
Algeria,"Molluscs, Other",2011,0
Algeria,"Molluscs, Other",2012,0
Algeria,"Molluscs, Other",2013,0
Angola,Wheat and products,2004,4
Angola,Wheat and products,2005,4
Angola,Wheat and products,2006,4
Angola,Wheat and products,2007,4
Angola,Wheat and products,2008,4
Angola,Wheat and products,2009,4
Angola,Wheat and products,2010,4
Angola,Wheat and products,2011,4
Angola,Wheat and products,2012,4
Angola,Wheat and products,2013,4
Angola,Rice (Milled Equivalent),2004,9
Angola,Rice (Milled Equivalent),2005,6
Angola,Rice (Milled Equivalent),2006,3
Angola,Rice (Milled Equivalent),2007,3
Angola,Rice (Milled Equivalent),2008,6
Angola,Rice (Milled Equivalent),2009,10
Angola,Rice (Milled Equivalent),2010,12
Angola,Rice (Milled Equivalent),2011,15
Angola,Rice (Milled Equivalent),2012,14
Angola,Rice (Milled Equivalent),2013,25
Angola,Maize and products,2004,577
Angola,Maize and products,2005,734
Angola,Maize and products,2006,526
Angola,Maize and products,2007,616
Angola,Maize and products,2008,702
Angola,Maize and products,2009,970
Angola,Maize and products,2010,1073
Angola,Maize and products,2011,1262
Angola,Maize and products,2012,454
Angola,Maize and products,2013,1549
Angola,Millet and products,2004,123
Angola,Millet and products,2005,138
Angola,Millet and products,2006,144
Angola,Millet and products,2007,77
Angola,Millet and products,2008,27
Angola,Millet and products,2009,28
Angola,Millet and products,2010,41
Angola,Millet and products,2011,61
Angola,Millet and products,2012,18
Angola,Millet and products,2013,39
Angola,Sorghum and products,2004,25
Angola,Sorghum and products,2005,30
Angola,Sorghum and products,2006,45
Angola,Sorghum and products,2007,79
Angola,Sorghum and products,2008,13
Angola,Sorghum and products,2009,40
Angola,Sorghum and products,2010,47
Angola,Sorghum and products,2011,62
Angola,Sorghum and products,2012,11
Angola,Sorghum and products,2013,46
Angola,Cassava and products,2004,8587
Angola,Cassava and products,2005,8806
Angola,Cassava and products,2006,9037
Angola,Cassava and products,2007,9730
Angola,Cassava and products,2008,10057
Angola,Cassava and products,2009,12828
Angola,Cassava and products,2010,13859
Angola,Cassava and products,2011,14334
Angola,Cassava and products,2012,10636
Angola,Cassava and products,2013,16412
Angola,Potatoes and products,2004,242
Angola,Potatoes and products,2005,307
Angola,Potatoes and products,2006,295
Angola,Potatoes and products,2007,491
Angola,Potatoes and products,2008,402
Angola,Potatoes and products,2009,823
Angola,Potatoes and products,2010,841
Angola,Potatoes and products,2011,841
Angola,Potatoes and products,2012,654
Angola,Potatoes and products,2013,670
Angola,Sweet potatoes,2004,630
Angola,Sweet potatoes,2005,664
Angola,Sweet potatoes,2006,685
Angola,Sweet potatoes,2007,949
Angola,Sweet potatoes,2008,820
Angola,Sweet potatoes,2009,983
Angola,Sweet potatoes,2010,987
Angola,Sweet potatoes,2011,1045
Angola,Sweet potatoes,2012,645
Angola,Sweet potatoes,2013,1200
Angola,Sugar cane,2004,345
Angola,Sugar cane,2005,345
Angola,Sugar cane,2006,450
Angola,Sugar cane,2007,500
Angola,Sugar cane,2008,520
Angola,Sugar cane,2009,500
Angola,Sugar cane,2010,500
Angola,Sugar cane,2011,510
Angola,Sugar cane,2012,520
Angola,Sugar cane,2013,510
Angola,Sugar (Raw Equivalent),2004,30
Angola,Sugar (Raw Equivalent),2005,30
Angola,Sugar (Raw Equivalent),2006,45
Angola,Sugar (Raw Equivalent),2007,50
Angola,Sugar (Raw Equivalent),2008,52
Angola,Sugar (Raw Equivalent),2009,50
Angola,Sugar (Raw Equivalent),2010,50
Angola,Sugar (Raw Equivalent),2011,51
Angola,Sugar (Raw Equivalent),2012,52
Angola,Sugar (Raw Equivalent),2013,51
Angola,Honey,2004,22
Angola,Honey,2005,24
Angola,Honey,2006,23
Angola,Honey,2007,26
Angola,Honey,2008,27
Angola,Honey,2009,26
Angola,Honey,2010,23
Angola,Honey,2011,23
Angola,Honey,2012,23
Angola,Honey,2013,23
Angola,Beans,2004,76
Angola,Beans,2005,109
Angola,Beans,2006,85
Angola,Beans,2007,104
Angola,Beans,2008,124
Angola,Beans,2009,247
Angola,Beans,2010,250
Angola,Beans,2011,304
Angola,Beans,2012,96
Angola,Beans,2013,312
Angola,Nuts and products,2004,1
Angola,Nuts and products,2005,2
Angola,Nuts and products,2006,2
Angola,Nuts and products,2007,2
Angola,Nuts and products,2008,2
Angola,Nuts and products,2009,2
Angola,Nuts and products,2010,2
Angola,Nuts and products,2011,2
Angola,Nuts and products,2012,2
Angola,Nuts and products,2013,2
Angola,Soyabeans,2004,2
Angola,Soyabeans,2005,2
Angola,Soyabeans,2006,3
Angola,Soyabeans,2007,7
Angola,Soyabeans,2008,15
Angola,Soyabeans,2009,6
Angola,Soyabeans,2010,6
Angola,Soyabeans,2011,8
Angola,Soyabeans,2012,6
Angola,Soyabeans,2013,10
Angola,Groundnuts (Shelled Eq),2004,35
Angola,Groundnuts (Shelled Eq),2005,46
Angola,Groundnuts (Shelled Eq),2006,40
Angola,Groundnuts (Shelled Eq),2007,47
Angola,Groundnuts (Shelled Eq),2008,64
Angola,Groundnuts (Shelled Eq),2009,78
Angola,Groundnuts (Shelled Eq),2010,81
Angola,Groundnuts (Shelled Eq),2011,113
Angola,Groundnuts (Shelled Eq),2012,47
Angola,Groundnuts (Shelled Eq),2013,134
Angola,Sunflower seed,2004,12
Angola,Sunflower seed,2005,14
Angola,Sunflower seed,2006,12
Angola,Sunflower seed,2007,10
Angola,Sunflower seed,2008,12
Angola,Sunflower seed,2009,11
Angola,Sunflower seed,2010,11
Angola,Sunflower seed,2011,12
Angola,Sunflower seed,2012,12
Angola,Sunflower seed,2013,12
Angola,Cottonseed,2004,2
Angola,Cottonseed,2005,2
Angola,Cottonseed,2006,2
Angola,Cottonseed,2007,2
Angola,Cottonseed,2008,2
Angola,Cottonseed,2009,2
Angola,Cottonseed,2010,2
Angola,Cottonseed,2011,3
Angola,Cottonseed,2012,3
Angola,Cottonseed,2013,3
Angola,Sesame seed,2004,2
Angola,Sesame seed,2005,2
Angola,Sesame seed,2006,2
Angola,Sesame seed,2007,2
Angola,Sesame seed,2008,2
Angola,Sesame seed,2009,2
Angola,Sesame seed,2010,3
Angola,Sesame seed,2011,3
Angola,Sesame seed,2012,3
Angola,Sesame seed,2013,3
Angola,Palm kernels,2004,22
Angola,Palm kernels,2005,22
Angola,Palm kernels,2006,23
Angola,Palm kernels,2007,23
Angola,Palm kernels,2008,21
