Country,Year,Value
Namibia,2010,2055
Namibia,2011,2090
Namibia,2012,2145
Namibia,2013,2171
Niger,2004,2453
Niger,2005,2444
Niger,2006,2442
Niger,2007,2461
Niger,2008,2520
Niger,2009,2523
Niger,2010,2533
Niger,2011,2534
Niger,2012,2567
Niger,2013,2547
Nigeria,2004,2655
Nigeria,2005,2705
Nigeria,2006,2725
Nigeria,2007,2720
Nigeria,2008,2723
Nigeria,2009,2683
Nigeria,2010,2706
Nigeria,2011,2706
Nigeria,2012,2665
Nigeria,2013,2700
Rwanda,2004,1969
Rwanda,2005,2037
Rwanda,2006,2044
Rwanda,2007,2053
Rwanda,2008,2101
Rwanda,2009,2196
Rwanda,2010,2198
Rwanda,2011,2213
Rwanda,2012,2270
Rwanda,2013,2228
Sao Tome and Principe,2004,2513
Sao Tome and Principe,2005,2546
Sao Tome and Principe,2006,2554
Sao Tome and Principe,2007,2511
Sao Tome and Principe,2008,2466
Sao Tome and Principe,2009,2435
Sao Tome and Principe,2010,2368
Sao Tome and Principe,2011,2331
Sao Tome and Principe,2012,2338
Sao Tome and Principe,2013,2400
Senegal,2004,2248
Senegal,2005,2237
Senegal,2006,2310
Senegal,2007,2342
Senegal,2008,2439
Senegal,2009,2446
Senegal,2010,2435
Senegal,2011,2428
Senegal,2012,2443
Senegal,2013,2456
Sierra Leone,2004,2024
Sierra Leone,2005,2082
Sierra Leone,2006,2155
Sierra Leone,2007,2194
Sierra Leone,2008,2197
Sierra Leone,2009,2251
Sierra Leone,2010,2275
Sierra Leone,2011,2335
Sierra Leone,2012,2374
Sierra Leone,2013,2404
South Africa,2004,2940
South Africa,2005,2952
South Africa,2006,2927
South Africa,2007,2920
South Africa,2008,2924
South Africa,2009,2936
South Africa,2010,2992
South Africa,2011,3002
South Africa,2012,3014
South Africa,2013,3022
Sudan,2012,2301
Sudan,2013,2336
Sudan,2004,2271
Sudan,2005,2296
Sudan,2006,2331
Sudan,2007,2344
Sudan,2008,2344
Sudan,2009,2346
Sudan,2010,2323
Sudan,2011,2346
Swaziland,2004,2469
Swaziland,2005,2372
Swaziland,2006,2325
Swaziland,2007,2310
Swaziland,2008,2257
Swaziland,2009,2249
Swaziland,2010,2284
Swaziland,2011,2283
Swaziland,2012,2293
Swaziland,2013,2329
Togo,2004,2246
Togo,2005,2238
Togo,2006,2283
Togo,2007,2295
Togo,2008,2316
Togo,2009,2340
Togo,2010,2370
Togo,2011,2383
Togo,2012,2414
Togo,2013,2454
Tunisia,2004,3248
Tunisia,2005,3220
Tunisia,2006,3273
Tunisia,2007,3252
Tunisia,2008,3302
Tunisia,2009,3335
Tunisia,2010,3326
Tunisia,2011,3360
Tunisia,2012,3390
Tunisia,2013,3349
Uganda,2004,2351
Uganda,2005,2327
Uganda,2006,2276
Uganda,2007,2212
Uganda,2008,2177
Uganda,2009,2194
Uganda,2010,2200
Uganda,2011,2178
Uganda,2012,2160
Uganda,2013,2130
United Republic of Tanzania,2004,2098
United Republic of Tanzania,2005,2134
United Republic of Tanzania,2006,2141
United Republic of Tanzania,2007,2215
United Republic of Tanzania,2008,2132
United Republic of Tanzania,2009,2133
United Republic of Tanzania,2010,2097
United Republic of Tanzania,2011,2200
United Republic of Tanzania,2012,2192
United Republic of Tanzania,2013,2208
Zambia,2004,1866
Zambia,2005,1873
Zambia,2006,1838
Zambia,2007,1781
Zambia,2008,1801
Zambia,2009,1878
Zambia,2010,1904
Zambia,2011,1907
Zambia,2012,1923
Zambia,2013,1930
Zimbabwe,2004,2044
Zimbabwe,2005,2025
Zimbabwe,2006,2115
Zimbabwe,2007,2109
Zimbabwe,2008,2094
Zimbabwe,2009,2147
Zimbabwe,2010,2168
Zimbabwe,2011,2200
Zimbabwe,2012,2197
Zimbabwe,2013,2110
